user_id,age,weight_kg,height_cm,workout_duration_min,workout_type,calories_burned,avg_heart_rate,sleep_hours,steps,active_minutes,resting_heart_rate,vo2_max,stress_level,hydration_liters,recovery_score
1,56,56.4,178.6,87,Strength,261,144,5.8,15410,170,62,34.3,1,1.25,75.0
2,46,88.3,187.3,73,Yoga,203,149,5.6,8164,111,48,37.7,3,2.33,53.7
3,32,50.0,168.9,76,Strength,266,145,9.3,9787,50,76,37.7,8,2.31,74.4
4,25,70.8,165.1,42,Cardio,399,129,5.8,17924,31,50,47.5,6,2.75,92.3
5,38,76.1,173.0,79,Strength,127,70,7.9,14518,153,70,40.2,3,2.06,99.2
6,56,52.7,190.9,92,Strength,523,73,8.4,2081,92,50,55.7,7,2.73,75.0
7,36,98.7,196.5,107,HIIT,661,119,8.7,5005,84,79,59.7,6,3.96,49.3
8,40,61.3,177.3,104,HIIT,255,95,10.0,10408,23,49,40.3,5,1.21,86.3
9,28,65.2,183.1,74,Yoga,423,163,8.8,2334,163,58,51.2,8,3.62,99.8
10,28,65.2,195.2,99,HIIT,447,100,7.9,13103,157,46,49.7,8,1.93,68.4
11,41,61.5,154.9,82,HIIT,220,61,9.4,10944,142,84,35.8,3,2.4,63.0
12,53,50.1,161.6,75,HIIT,627,116,9.4,13953,20,57,57.5,8,3.22,73.2
13,57,86.5,185.4,74,Strength,660,166,9.8,12943,56,49,36.0,9,3.73,49.9
14,41,98.3,191.2,44,Strength,263,119,8.7,5897,19,80,52.1,3,1.03,98.3
15,20,61.2,192.9,45,HIIT,161,79,5.2,6648,70,80,40.4,8,2.99,90.3
16,39,83.2,170.8,68,Cardio,439,81,8.3,11674,120,63,41.0,8,1.21,46.8
17,19,87.1,154.5,82,HIIT,411,162,4.5,19166,54,64,43.7,7,2.58,96.7
18,41,92.4,171.9,64,Cardio,475,63,5.9,5794,56,66,55.9,8,3.25,96.6
19,47,71.1,161.5,92,Strength,445,115,4.7,17344,171,75,34.2,1,1.51,59.0
20,55,65.1,164.6,98,Cardio,249,152,9.7,14874,127,48,31.6,3,3.29,77.1
21,19,66.3,188.6,58,Strength,684,169,6.0,7597,150,47,42.1,6,1.93,46.6
22,38,85.6,153.8,116,Cardio,680,117,8.3,9050,32,81,31.7,7,2.83,45.1
23,50,90.8,191.4,84,Strength,276,147,7.4,7051,45,69,50.6,7,2.97,70.1
24,29,59.1,171.4,88,Strength,453,124,4.6,19126,85,81,52.8,6,2.95,43.0
25,39,68.5,179.8,75,HIIT,613,147,7.4,6544,118,48,55.6,4,1.06,92.5
26,42,95.1,154.5,28,Yoga,408,117,8.0,14875,93,83,52.3,5,1.46,95.7
27,44,90.3,166.9,89,Yoga,218,89,9.3,6355,89,51,57.5,9,3.57,44.0
28,59,99.2,154.5,47,Strength,618,135,4.4,10285,23,51,52.4,1,3.82,42.8
29,45,87.7,198.1,64,HIIT,577,78,5.8,15308,75,69,58.1,2,2.69,53.3
30,33,69.7,190.4,45,Yoga,513,160,8.2,19759,25,59,35.8,5,2.79,95.8
31,32,79.5,173.0,47,Yoga,686,121,4.2,4516,52,51,45.0,5,3.27,86.1
32,20,83.1,161.2,59,HIIT,450,163,5.2,15155,111,48,59.8,7,2.22,80.6
33,54,53.9,196.7,34,HIIT,605,166,5.3,18474,122,78,50.4,8,1.98,86.6
34,24,77.2,167.2,25,Yoga,294,177,8.0,17403,18,63,56.4,6,3.3,52.0
35,38,85.5,158.0,46,Yoga,286,127,5.7,3479,158,82,30.9,6,1.08,55.4
36,26,58.4,178.2,57,Cardio,549,138,7.6,19338,91,71,56.2,5,3.66,59.1
37,56,89.0,197.2,87,Cardio,595,143,9.8,10214,119,49,50.9,5,2.32,76.3
38,35,79.2,150.2,94,Strength,614,103,8.8,14310,107,57,35.1,8,2.51,76.5
39,21,97.6,161.9,104,Yoga,372,143,6.0,4547,93,58,30.8,5,2.9,52.5
40,42,52.1,196.9,83,HIIT,151,177,6.8,6923,52,74,37.8,6,1.82,66.2
41,31,63.3,158.6,49,HIIT,362,178,5.2,18572,75,54,57.5,3,2.79,81.4
42,26,80.1,155.7,101,Yoga,467,120,4.1,18207,141,76,50.0,5,3.08,58.6
43,43,64.8,178.5,118,Strength,232,80,5.7,2459,132,45,57.6,9,1.35,44.5
44,19,85.7,193.1,22,HIIT,324,69,6.2,4236,118,68,43.4,3,2.56,51.8
45,37,88.0,173.9,81,Yoga,409,89,7.4,2580,111,73,58.1,8,1.99,49.9
46,45,55.1,199.7,31,Yoga,672,83,9.7,16439,144,51,43.9,7,2.67,77.9
47,24,75.7,184.0,110,Strength,115,107,9.7,6715,95,75,36.1,4,1.06,44.1
48,25,75.4,153.7,49,Yoga,294,114,4.4,12626,93,61,34.5,5,3.23,93.1
49,52,68.5,199.6,104,HIIT,542,163,7.7,7897,13,74,59.8,8,1.51,45.1
50,31,96.6,170.4,57,Cardio,402,111,4.3,10664,133,69,40.0,7,3.07,75.9
51,34,91.4,164.4,104,Strength,147,163,7.9,19242,29,72,34.8,2,3.31,95.8
52,53,84.9,177.9,79,Yoga,220,97,4.7,13181,44,80,30.3,8,3.26,43.7
53,57,85.7,165.2,57,Strength,598,126,9.7,13898,106,51,38.6,8,3.45,63.0
54,21,73.1,154.3,34,Yoga,661,152,9.2,3712,23,79,56.7,9,1.92,59.7
